1968.2618	3.056	1358122	1306	0.317	92.5
646.3441	8.873	1334558	1893	0.24	80
12022.698	35.528	1327228	4505	0.206	80
2044.3266	7.593	1326434	1747	0.212	100
2548.3342	8.987	1326196	1902	0.163	100
5768.8371	28.789	1318063	3872	0.166	84.2
5859.7659	23.755	1302264	3348	0.179	80
3622.5608	22.121	1287579	3133	0.173	100
2672.3731	8.399	1283016	1838	0.196	100
974.1443	0.792	1277299	573	0.115	100
5601.68	24.456	1276761	3452	0.19	100
11698.7915	35.155	1272216	4422	0.206	80
2264.2953	4.697	1257318	1516	0.284	75.7
4230.5449	16.828	1254040	2608	0.206	99.7
5466.7408	24.082	1251067	3391	0.279	100
2201.3186	12.97	1239308	2255	0.246	100
6399.8913	25.17	1234944	3538	0.206	80
7462.086	31.698	1229266	4107	0.198	72.6
3943.5476	15.009	1225046	2434	0.226	100
3888.5115	18.614	1213274	2793	0.27	74.9
5862.8557	29.719	1210525	3953	0.199	86.2
489.5695	1.055	1210088	996	0.103	100
3602.4962	14.62	1209048	2397	0.191	100
4582.6159	19.446	1207921	2879	0.204	97.2
688.0699	0.901	1202654	667	0.474	69.7
2663.4102	15.792	1201717	2489	0.213	100
5493.8153	27.682	1193135	3735	0.168	80
2524.3222	6.409	1181162	1638	0.284	98.5
5844.7807	25.272	1178403	3557	0.195	87.7
3235.4086	11.346	1169269	2101	0.206	100
1366.2059	1.023	1163701	933	0.093	100
3909.5061	16.552	1162040	2573	0.184	96.4
3543.4586	18.06	1157293	2735	0.18	99.7
4598.6185	19.375	1153706	2865	0.205	96.8
5555.7209	21.539	1146864	3071	0.182	98.5
3637.5247	13.215	1145896	2273	0.282	82.6
3700.4243	17.885	1142856	2706	0.171	100
1980.2582	1.058	1133995	1012	0.106	100
5924.7454	24.424	1128908	3441	0.154	49.4
5472.8034	28.753	1127505	3861	0.172	93.5
465.195	12.691	1123042	2206	0.354	100
1958.274	1.065	1122865	1032	0.099	100
1789.1923	2.513	1120691	1226	0.219	100
3181.4436	18.29	1105685	2757	0.211	100
4163.6182	24.325	1105342	3422	0.159	95.9
3947.5429	16.55	1104769	2572	0.226	80
5444.7604	27.354	1104126	3707	0.244	80
5749.808	27.939	1096502	3773	0.227	80
2694.4155	12.191	1095942	2183	0.242	97.3
4237.5709	18.037	1091048	2728	0.174	93.7
6020.769	24.136	1088992	3406	0.192	96.3
7789.1458	32.732	1081838	4160	0.201	80
5293.6386	23.791	1077985	3357	0.203	93.9
2875.3594	9.135	1067293	1917	0.233	80
2950.39	11.153	1060979	2082	0.24	100
1132.6528	3.039	1056494	1302	0.203	85.7
9451.3629	33.683	1043343	4242	0.213	80
3815.5424	20.65	1040967	2997	0.191	84.8
10094.497	34.362	1035543	4314	0.19	74
3891.4942	17.024	1032709	2631	0.238	100
3002.4396	8.601	1032149	1853	0.208	100
1989.3096	11.53	1027328	2122	0.223	100
1277.1832	1.009	1023217	887	0.089	100
6509.8604	25.336	1019699	3573	0.186	80
2423.2259	7.665	1017380	1756	0.192	100
3526.4327	13.475	1011995	2303	0.218	100
650.1225	0.905	1011791	674	0.098	100
3222.434	13.255	1009874	2287	0.335	65.8
5947.7291	25.272	1006803	3558	0.226	100
4871.6249	21.782	1005371	3100	0.214	93.1
6094.8588	25.668	1003783	3595	0.165	83.8
4992.7428	26.996	1003108	3681	0.172	100
2507.3432	11.4	997598	2113	0.216	100
2334.3559	12.755	994280	2222	0.4	80
2604.3705	11.968	990468	2174	0.211	100
12020.5663	35.529	985986	4507	0.201	80
3350.4906	17.648	984327	2692	0.221	100
2117.201	4.805	984248	1528	0.214	100
2912.4114	13.789	983005	2344	0.21	100
5233.7058	21.774	978878	3095	0.189	80
4559.5918	19.341	974223	2853	0.22	80
4526.5717	21.445	967468	3059	0.234	89.3
2900.4164	11.153	967130	2083	0.251	100
7139.0058	31.633	966843	4099	0.197	82.1
2286.2859	3.195	960593	1333	0.356	80
4161.5716	18.232	952601	2749	0.227	80
11839.6536	35.528	938081	4506	0.206	75.1
1787.4327	29.305	935489	3908	0.259	100
2389.3747	10.475	931068	2037	0.211	100
3608.5507	20.805	922464	3003	0.183	82.9
2297.3149	6.737	920852	1675	0.206	100
2910.3931	11.684	917255	2138	0.203	86.8
2629.404	15.881	917171	2506	0.211	100
4825.6723	24.948	915672	3510	0.203	90.7
542.0005	1.228	915504	1189	0.607	72.2
9107.3326	33.678	908691	4238	0.19	80
5007.5781	23.111	905005	3262	0.248	86.5
10727.5922	34.561	903850	4327	0.217	62.7
3197.4384	15.856	903225	2500	0.242	100
11373.593	35.172	902964	4429	0.187	66.1
10421.5148	34.368	902400	4315	0.199	80
3871.5388	19.585	900239	2888	0.182	91.5
4491.6271	20.326	900092	2953	0.235	100
5413.8442	28.106	899000	3787	0.203	84.9
1481.6883	24.848	896977	3497	0.176	33.8
2548.3338	9.221	888299	1931	0.181	95.6
2437.5221	28.439	881635	3839	0.247	100
2854.3706	8.286	879966	1826	0.194	100
3677.4596	17.598	879611	2683	0.167	93.5
1317.1894	2.424	876209	1214	0.248	99.2
384.114	9.548	874702	1958	0.191	100
3204.4719	19.535	869634	2886	0.209	100
11354.6079	35.183	869225	4433	0.176	80
3013.3535	12.829	860097	2227	0.196	100
1288.2139	0.815	857532	594	0.105	100
1660.2569	8.224	855761	1818	0.215	100
2352.3224	3.204	852493	1338	0.26	73.4
